"","customer.ID","gender","age","educaton","marital.status","income","dependent.count","card.category","months.on.book","relationship.count","months.inactive","contacts.count.12","credit.limit","revolving.balance","open.to.buy","transaction.amount.Q4.Q1","transaction.amount.12","transaction.count","transaction.change","utilization.ratio","churn"
"1",768805383,"male",45,"highschool","married","60K-80K",3,"Blue",39,5,1,3,12691,777,11914,1.335,1144,42,1.625,0.061,"no"
"2",818770008,"female",49,"graduate","single","<40K",5,"Blue",44,6,1,2,8256,864,7392,1.541,1291,33,3.714,0.105,"no"
"3",713982108,"male",51,"graduate","married","80K-120K",3,"Blue",36,4,1,0,3418,0,3418,2.594,1887,20,2.333,0,"no"
"4",769911858,"female",40,"highschool","unknown","<40K",4,"Blue",34,3,4,1,3313,2517,796,1.405,1171,20,2.333,0.76,"no"
"5",709106358,"male",40,"uneducated","married","60K-80K",3,"Blue",21,5,1,0,4716,0,4716,2.175,816,28,2.5,0,"no"
"6",713061558,"male",44,"graduate","married","40K-60K",2,"Blue",36,3,1,2,4010,1247,2763,1.376,1088,24,0.846,0.311,"no"
"7",810347208,"male",51,"unknown","married",">120K",4,"Gold",46,6,1,3,34516,2264,32252,1.975,1330,31,0.722,0.066,"no"
"8",818906208,"male",32,"highschool","unknown","60K-80K",0,"Silver",27,2,2,2,29081,1396,27685,2.204,1538,36,0.714,0.048,"no"
"9",710930508,"male",37,"uneducated","single","60K-80K",3,"Blue",36,5,2,0,22352,2517,19835,3.355,1350,24,1.182,0.113,"no"
"10",719661558,"male",48,"graduate","single","80K-120K",2,"Blue",36,6,3,3,11656,1677,9979,1.524,1441,32,0.882,0.144,"no"
"11",708790833,"male",42,"uneducated","unknown",">120K",5,"Blue",31,5,3,2,6748,1467,5281,0.831,1201,42,0.68,0.217,"no"
"12",710821833,"male",65,"unknown","married","40K-60K",1,"Blue",54,6,2,3,9095,1587,7508,1.433,1314,26,1.364,0.174,"no"
"13",710599683,"male",56,"college","single","80K-120K",1,"Blue",36,3,6,0,11751,0,11751,3.397,1539,17,3.25,0,"no"
"14",816082233,"male",35,"graduate","unknown","60K-80K",3,"Blue",30,5,1,3,8547,1666,6881,1.163,1311,33,2,0.195,"no"
"15",712396908,"female",57,"graduate","married","<40K",2,"Blue",48,5,2,2,2436,680,1756,1.19,1570,29,0.611,0.279,"no"
"16",714885258,"male",44,"unknown","unknown","80K-120K",4,"Blue",37,5,1,2,4234,972,3262,1.707,1348,27,1.7,0.23,"no"
"17",709967358,"male",48,"post-graduate","single","80K-120K",4,"Blue",36,6,2,3,30367,2362,28005,1.708,1671,27,0.929,0.078,"no"
"18",753327333,"male",41,"unknown","married","80K-120K",3,"Blue",34,4,4,1,13535,1291,12244,0.653,1028,21,1.625,0.095,"no"
"19",806160108,"male",61,"highschool","married","40K-60K",1,"Blue",56,2,2,3,3193,2517,676,1.831,1336,30,1.143,0.788,"no"
"20",709327383,"female",45,"graduate","married","unknown",2,"Blue",37,6,1,2,14470,1157,13313,0.966,1207,21,0.909,0.08,"no"
"21",806165208,"male",47,"doctorate","divorced","60K-80K",1,"Blue",42,5,2,0,20979,1800,19179,0.906,1178,27,0.929,0.086,"no"
"22",708508758,"female",62,"graduate","married","<40K",0,"Blue",49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0,"yes"
"23",784725333,"male",41,"highschool","married","40K-60K",3,"Blue",33,4,2,1,4470,680,3790,1.608,931,18,1.571,0.152,"no"
"24",811604133,"female",47,"unknown","single","<40K",4,"Blue",36,3,3,2,2492,1560,932,0.573,1126,23,0.353,0.626,"no"
"25",789124683,"male",54,"unknown","married","80K-120K",2,"Blue",42,4,2,3,12217,0,12217,1.075,1110,21,0.75,0,"no"
"26",771071958,"female",41,"graduate","single","<40K",3,"Blue",28,6,1,2,7768,1669,6099,0.797,1051,22,0.833,0.215,"no"
